pool,w,branch,n_ticks_median,n_ticks_p5,mass_frac_median,beta_median,beta_iqr
1bp_USDC_USDT,0.02,above,47.0,35.0,0.9723262602936186,85.17590030204217,26.351788804688553
1bp_USDC_USDT,0.02,below,43.0,36.0,0.995825757988168,-85.0797665452523,23.969100984211835
1bp_USDC_USDT,0.05,above,49.0,37.0,0.9937643763241537,80.7144693485134,23.833016742250244
1bp_USDC_USDT,0.05,below,44.0,36.0,0.9987089099832088,-90.17708320214315,38.22373619153485
1bp_USDC_USDT,0.1,above,52.0,40.0,0.9939728105197356,43.79805781497251,2.8874288779824937
1bp_USDC_USDT,0.1,below,49.0,41.0,0.9996752032946286,-30.697670444003748,8.549188588717577
1bp_USDC_USDT,0.15,above,53.0,42.0,0.9941674016604236,23.489598823752722,2.8084425911180055
1bp_USDC_USDT,0.15,below,49.0,41.0,0.9998186573679585,-24.891161516071403,10.637111043499416
1bp_USDC_USDT,0.22,above,53.0,42.0,0.9944316932457135,12.377884939186641,1.836955942190059
1bp_USDC_USDT,0.22,below,49.0,41.0,0.9998660634176801,-15.683749780068622,19.096503957995896
1bp_USDC_USDT,0.35,above,53.0,42.0,0.9948986409112283,5.677321156013212,0.8926159967920473
1bp_USDC_USDT,0.35,below,49.0,41.0,0.999958769636605,-6.4527640252961245,24.085107568652088
1bp_USDC_USDT,0.5,above,53.0,42.0,0.9954010307342863,3.2465796440221655,0.4786521476782539
1bp_USDC_USDT,0.5,below,49.0,42.0,1.0,-4.749101445675477,24.82034986280352
1bp_WETH_USDC,0.02,above,6.0,2.0,0.06760909934723784,0.7598526110367819,2.7138591612977025
1bp_WETH_USDC,0.02,below,7.0,2.0,0.08445868718974398,0.3637314361647462,3.5499124736254704
1bp_WETH_USDC,0.05,above,14.0,6.0,0.16417948862991533,1.3084353001517728,4.296723917677851
1bp_WETH_USDC,0.05,below,15.0,6.0,0.20440787192712082,-1.0216664059475415,3.891069208154258
1bp_WETH_USDC,0.1,above,27.0,11.0,0.3044255074914849,2.0157801247398894,4.160206327945963
1bp_WETH_USDC,0.1,below,30.0,15.0,0.37436511846480114,-1.915643526056363,3.492206695288826
1bp_WETH_USDC,0.15,above,38.0,16.0,0.41810923804626493,2.0811811914703444,4.410789975028342
1bp_WETH_USDC,0.15,below,43.0,25.0,0.49897324600226883,-2.0953984468059565,2.6676691922187716
1bp_WETH_USDC,0.22,above,54.0,25.0,0.5354280279213784,2.254548672206513,4.343572269994423
1bp_WETH_USDC,0.22,below,59.0,40.0,0.654480157551546,-2.33018886843564,2.230322314702062
1bp_WETH_USDC,0.35,above,79.0,32.0,0.6922076817344212,2.6081866235761746,3.0815650079854398
1bp_WETH_USDC,0.35,below,85.0,64.0,0.8229853082417727,-2.085137364250297,1.818904531727844
1bp_WETH_USDC,0.5,above,101.0,36.0,0.8151215268172436,2.34680166003979,1.6996807071478393
1bp_WETH_USDC,0.5,below,112.0,86.0,0.9276894837745964,-1.8245603200367906,1.382805911727175
1bp_WETH_USDT,0.02,above,9.0,4.0,0.07217371688863372,0.7276573203316178,3.070538833949335
1bp_WETH_USDT,0.02,below,10.0,3.0,0.09409038510241285,-0.37959005193431233,3.485732172300925
1bp_WETH_USDT,0.05,above,22.0,9.0,0.18827760851787198,1.2937873858992661,3.1546988086214998
1bp_WETH_USDT,0.05,below,22.0,8.0,0.22005702930983873,-1.1920155381339852,3.506559224122538
1bp_WETH_USDT,0.1,above,43.0,18.0,0.3462514524096825,2.010108719886465,3.395111694332038
1bp_WETH_USDT,0.1,below,42.0,19.0,0.38511292168783323,-2.233054607147333,3.2951653295020695
1bp_WETH_USDT,0.15,above,63.0,27.0,0.4837106183769351,2.4813998375967654,3.299780764301846
1bp_WETH_USDT,0.15,below,58.0,25.0,0.5048463318485592,-2.614502004059463,3.529387708126305
1bp_WETH_USDT,0.22,above,87.0,40.0,0.64770243937212,2.651289228572791,3.122897122928112
1bp_WETH_USDT,0.22,below,80.0,31.0,0.6204056363072581,-2.5393764922682913,2.9323825119546374
1bp_WETH_USDT,0.35,above,121.0,59.0,0.8153415874036279,2.898668883037558,3.7577279956133482
1bp_WETH_USDT,0.35,below,107.0,41.0,0.7653225850800269,-2.6000453076187804,1.76553539085509
1bp_WETH_USDT,0.5,above,150.0,66.0,0.9371249101813149,2.5403490117684497,3.6703538427770046
1bp_WETH_USDT,0.5,below,129.0,46.0,0.866151117965217,-2.3129510925800476,1.4068598518427466
30bp_WBTC_USDT,0.02,above,3.0,2.0,0.11720681547264263,0.8450662712321511,2.6126459014816765
