pool,w,headline_w
1bp_USDC_USDT,0.02,
1bp_USDC_USDT,0.05,
1bp_USDC_USDT,0.1,
1bp_USDC_USDT,0.15,
1bp_USDC_USDT,0.22,
1bp_USDC_USDT,0.35,
1bp_USDC_USDT,0.5,
1bp_WETH_USDC,0.1,
1bp_WETH_USDC,0.15,
1bp_WETH_USDC,0.22,
1bp_WETH_USDC,0.35,
1bp_WETH_USDC,0.5,
1bp_WETH_USDT,0.1,
1bp_WETH_USDT,0.15,
1bp_WETH_USDT,0.22,
1bp_WETH_USDT,0.35,
1bp_WETH_USDT,0.5,
30bp_WBTC_USDT,0.1,
30bp_WBTC_USDT,0.15,
30bp_WBTC_USDT,0.22,
30bp_WBTC_USDT,0.35,
30bp_WBTC_USDT,0.5,
30bp_WBTC_WETH,0.1,
30bp_WBTC_WETH,0.15,
30bp_WBTC_WETH,0.22,
30bp_WBTC_WETH,0.35,
30bp_WBTC_WETH,0.5,
30bp_WETH_USDC,0.1,
30bp_WETH_USDC,0.15,
30bp_WETH_USDC,0.22,
30bp_WETH_USDC,0.35,
30bp_WETH_USDC,0.5,
30bp_WETH_USDT,0.1,
30bp_WETH_USDT,0.15,
30bp_WETH_USDT,0.22,
30bp_WETH_USDT,0.35,
30bp_WETH_USDT,0.5,
5bp_WBTC_WETH,0.1,
5bp_WBTC_WETH,0.15,
5bp_WBTC_WETH,0.22,
5bp_WBTC_WETH,0.35,
5bp_WBTC_WETH,0.5,
5bp_WETH_USDC,0.02,
5bp_WETH_USDC,0.05,
5bp_WETH_USDC,0.1,
5bp_WETH_USDC,0.15,
5bp_WETH_USDC,0.22,
5bp_WETH_USDC,0.35,
5bp_WETH_USDC,0.5,
5bp_WETH_USDT,0.05,
5bp_WETH_USDT,0.1,
5bp_WETH_USDT,0.15,
5bp_WETH_USDT,0.22,
5bp_WETH_USDT,0.35,
5bp_WETH_USDT,0.5,
